lat,long,site,Province,plate_n,plate_low,plate_partial,plate_complete,Morph,other,habitat,citation_num,citation,,,,notes,
47.489,-69.271,Pokenegmook,QC,125,0,0.02,0.98,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,"""Pohenegamook"""
47.662,-68.815,Temiscouata,QC,130,0,0.18,0.82,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
48.181,-69,Petit St. Simon,QC,315,0,0.02,0.98,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,
47.422,-68.963,Long,QC,90,0,0.16,0.84,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
48.291,-68.856,St. Fabien,QC,89,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,
50.355,-65.915,Matamek L.,QC,632,0,1,0,P,C,lake,2,Coad & Power (1974). J. Fish. Res. Board Can. 31:1155-1157,,,,,
50.351,-66.124,Bill,QC,567,0,0.711,0.289,P,C,lake,2,Coad & Power (1974). J. Fish. Res. Board Can. 31:1155-1157,,,,,
50.327,-65.96,Matamek R.,QC,230,0.022,0.978,0,P,C,river,2,Coad & Power (1974). J. Fish. Res. Board Can. 31:1155-1157,,,,,
45.761,-60.573,Lomond,NS,136,0,1,0,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.797,-60.571,Uist,NS,76,0,1,0,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.853,-63.846,Killarney,NS,92,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.963,-64.058,Tidnish,NS,246,0,0.04,0.96,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.694,-64.376,Hebert,NS,54,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.748,-67.033,Harvey,NB,97,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
47.227,-68.99,Glasier,NB,92,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.352,-65.958,First Green,NB,129,0,0.14,0.86,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.354,-65.957,Second Green,NB,82,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.355,-65.957,Third Green,NB,127,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.15,-67.086,Big Chamcook,NB,102,0,0.04,0.96,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
47.332,-68.744,Unique,NB,137,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.556,-66.877,Peltoma L.,NB,78,0,0.75,0.25,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,
